ID	Peak1	Peak2	Peak3	Cen1	Cen2	Cen3	Size1	Size2	Size3	theta	Peak	Sum	Volume
1.0	54.835	84.178	84.635	54.835	84.178	84.635	6.856	6.736	5.395	169.414	2.764	830.544	3005.0
2.0	92.288	59.124	93.408	92.288	59.124	93.408	7.636	7.518	8.549	98.469	2.699	1548.954	5007.0
3.0	40.575	72.692	9.55	40.575	72.692	9.55	7.509	7.358	4.052	1.954	2.688	725.851	2673.0
4.0	14.877	59.818	80.203	14.877	59.818	80.203	7.83	7.202	10.086	31.304	2.326	1596.016	6567.0
5.0	34.833	14.934	65.2	34.833	14.934	65.2	6.041	5.389	9.49	174.329	1.643	612.261	3217.0
6.0	85.48	91.481	80.143	85.48	91.481	80.143	7.894	5.066	12.947	172.533	0.482	300.299	3602.0
7.0	38.762	31.903	70.72	38.762	31.903	70.72	8.192	5.07	3.933	174.111	1.477	290.937	1651.0
8.0	26.203	23.113	11.132	26.203	23.113	11.132	6.177	5.605	16.061	32.88	2.779	1753.291	5565.0
9.0	75.483	33.635	28.487	75.483	33.635	28.487	7.069	5.418	16.339	81.813	0.9	678.965	5425.0
10.0	38.358	75.766	75.335	38.358	75.766	75.335	7.531	5.011	4.156	169.032	0.911	172.39	1364.0
