ID	Peak1	Peak2	Cen1	Cen2	Size1	Size2	Peak	Sum	Volume
1.0	26.0	14.0	26.852	13.761	6.564	4.177	2.387	83.606	81.0
2.0	39.0	23.0	37.624	22.483	5.12	4.887	1.979	68.17	71.0
3.0	57.0	23.0	57.442	25.29	3.729	5.734	1.355	40.243	51.0
4.0	79.0	26.0	77.99	24.865	4.563	4.226	1.605	37.347	46.0
5.0	91.0	28.0	90.474	28.539	3.665	4.356	1.577	34.308	40.0
6.0	22.0	29.0	22.447	28.537	4.742	3.85	1.649	32.734	44.0
7.0	112.0	35.0	113.229	36.037	5.285	4.635	1.199	37.546	55.0
8.0	13.0	37.0	13.675	38.206	4.683	6.023	2.443	95.05	79.0
9.0	91.0	44.0	89.788	43.359	6.802	6.826	2.486	165.931	138.0
10.0	106.0	59.0	105.684	58.371	3.492	3.586	1.262	20.298	29.0
11.0	62.0	66.0	61.241	65.178	4.964	6.403	1.887	79.494	85.0
12.0	17.0	71.0	17.227	70.111	5.727	5.076	1.508	58.59	67.0
13.0	63.0	78.0	62.96	78.406	3.001	2.955	1.087	11.572	18.0
14.0	23.0	80.0	21.694	78.512	5.143	5.266	1.632	53.14	63.0
15.0	55.0	103.0	54.38	103.94	4.403	4.735	2.042	55.912	55.0
16.0	106.0	109.0	105.934	109.501	3.265	2.505	1.195	12.053	17.0
17.0	73.0	113.0	73.478	113.234	7.06	7.423	3.272	208.981	157.0
18.0	84.0	114.0	84.0	114.307	5.296	4.734	1.768	54.656	63.0
