ID	Peak1	Peak2	Cen1	Cen2	Size1	Size2	theta	Peak	Sum	Area
1.0	38.507	80.215	38.507	80.215	7.579	4.92	73.891	0.641	27.079	178.0
2.0	26.769	13.992	26.769	13.992	8.32	4.919	92.656	2.071	96.059	245.0
3.0	57.281	25.322	57.281	25.322	9.045	6.274	177.809	1.061	68.244	299.0
4.0	13.661	38.37	13.661	38.37	7.738	5.224	24.87	2.369	108.495	248.0
5.0	22.027	78.915	22.027	78.915	7.188	5.432	63.299	1.525	67.494	223.0
6.0	113.238	36.333	113.238	36.333	9.056	8.512	130.364	0.853	72.598	342.0
7.0	77.769	24.85	77.769	24.85	6.854	6.38	133.435	1.145	56.729	236.0
8.0	62.812	78.69	62.812	78.69	5.57	4.818	161.356	0.754	22.924	133.0
9.0	17.205	69.701	17.205	69.701	7.74	6.225	68.454	1.39	75.877	267.0
10.0	73.601	113.233	73.601	113.233	9.367	7.872	45.516	2.841	231.836	401.0
11.0	61.359	65.298	61.359	65.298	8.047	6.823	4.047	1.619	100.713	317.0
12.0	54.289	103.765	54.289	103.765	6.76	4.978	51.473	1.838	70.096	199.0
13.0	22.114	28.361	22.114	28.361	8.377	4.848	129.726	1.125	51.759	219.0
14.0	93.257	104.063	93.257	104.063	6.497	6.14	98.61	0.584	26.405	185.0
15.0	84.936	114.179	84.936	114.179	6.37	5.744	168.63	1.394	57.282	191.0
16.0	105.739	58.437	105.739	58.437	6.436	5.114	36.862	0.927	34.56	167.0
17.0	37.617	22.564	37.617	22.564	7.269	6.323	108.122	1.719	89.525	271.0
18.0	90.3	28.304	90.3	28.304	6.422	4.837	46.208	1.368	48.163	174.0
19.0	105.472	109.292	105.472	109.292	5.256	4.904	84.443	0.741	21.633	124.0
20.0	89.673	43.433	89.673	43.433	9.357	8.17	147.017	2.375	205.712	479.0
