ID	Peak1	Peak2	Peak3	Cen1	Cen2	Cen3	Size1	Size2	Size3	Peak	Sum	Volume
1.0	98.0	21.0	11.0	98.153	21.524	9.444	4.088	4.525	9.119	2.649	737.007	782.0
2.0	51.0	48.0	10.0	50.425	48.478	12.419	3.83	3.681	6.458	1.307	205.074	302.0
3.0	105.0	90.0	11.0	104.541	89.79	11.298	4.56	4.774	8.632	2.712	711.792	774.0
4.0	62.0	40.0	21.0	62.54	39.725	21.797	2.86	2.785	8.416	1.294	161.306	231.0
5.0	29.0	6.0	22.0	29.532	6.273	23.438	4.593	5.042	12.403	3.418	1555.239	1413.0
6.0	87.0	32.0	26.0	86.639	31.396	25.68	5.77	5.945	8.711	2.33	1222.728	1338.0
7.0	102.0	89.0	27.0	99.685	88.542	25.997	4.756	4.681	8.543	1.536	436.189	631.0
8.0	60.0	103.0	29.0	60.496	101.801	30.228	3.142	4.443	6.353	1.468	211.956	302.0
9.0	56.0	19.0	31.0	56.24	19.07	30.999	4.356	4.121	3.413	2.936	287.635	288.0
10.0	47.0	109.0	42.0	46.682	110.323	40.324	4.521	4.348	10.972	2.255	820.988	947.0
11.0	41.0	27.0	41.0	41.295	26.914	40.697	4.01	4.098	5.006	3.024	441.255	409.0
12.0	72.0	110.0	42.0	70.704	110.706	41.665	4.026	4.121	6.44	1.593	291.113	400.0
13.0	41.0	45.0	41.0	41.925	44.698	43.76	2.665	2.286	4.531	1.112	44.249	66.0
14.0	115.0	95.0	53.0	114.887	95.441	50.215	4.482	4.648	10.914	2.655	1005.843	1024.0
15.0	41.0	15.0	56.0	40.768	15.329	56.25	6.317	5.669	2.524	2.536	417.943	424.0
16.0	93.0	36.0	61.0	94.012	35.945	59.578	6.297	5.508	7.825	2.436	1141.057	1188.0
17.0	56.0	37.0	61.0	54.407	36.388	60.384	6.34	6.186	7.586	3.138	1620.279	1484.0
18.0	16.0	5.0	61.0	15.623	5.064	61.121	5.535	5.115	4.355	2.803	647.124	602.0
19.0	78.0	79.0	68.0	77.764	79.075	68.826	4.753	4.127	9.664	2.81	953.38	925.0
20.0	110.0	28.0	69.0	109.666	27.618	68.936	5.985	3.764	3.578	2.437	351.649	373.0
21.0	99.0	112.0	69.0	98.966	112.299	69.2	2.74	3.725	6.818	1.325	145.543	221.0
22.0	60.0	81.0	70.0	60.698	81.174	71.407	4.335	4.29	12.005	2.806	1052.82	1057.0
23.0	96.0	30.0	70.0	96.936	31.031	70.528	5.506	5.054	10.906	2.813	1449.945	1359.0
24.0	54.0	25.0	74.0	54.681	24.215	73.815	5.485	5.597	4.838	1.93	533.627	636.0
25.0	29.0	10.0	76.0	28.326	10.148	73.992	6.688	5.533	11.289	2.851	1965.353	1958.0
26.0	41.0	60.0	75.0	41.99	58.829	75.649	4.903	6.564	10.411	3.127	1565.142	1441.0
27.0	112.0	68.0	76.0	113.148	67.339	76.031	4.661	4.614	3.515	1.567	211.162	283.0
28.0	100.0	108.0	81.0	100.155	107.762	81.285	3.822	3.796	9.662	1.84	452.008	555.0
29.0	23.0	99.0	87.0	22.026	99.187	87.512	3.837	4.368	5.271	1.438	191.419	284.0
30.0	52.0	65.0	88.0	53.838	66.672	88.17	3.367	3.096	3.966	1.272	85.426	128.0
31.0	46.0	109.0	92.0	45.846	109.018	92.168	4.227	5.025	10.26	3.129	1181.961	1077.0
32.0	12.0	44.0	95.0	11.677	44.898	95.978	3.877	3.518	8.827	1.879	390.263	486.0
33.0	41.0	29.0	102.0	40.678	28.681	101.632	3.84	4.526	4.825	1.537	203.341	291.0
34.0	20.0	59.0	105.0	19.935	58.79	106.087	5.788	4.715	5.089	2.686	648.041	640.0
35.0	95.0	83.0	107.0	95.164	82.797	106.481	5.675	5.248	8.729	2.567	1174.178	1196.0
36.0	32.0	51.0	113.0	31.63	50.147	113.055	5.572	3.821	2.011	2.278	167.201	178.0
37.0	99.0	96.0	112.0	99.064	97.327	113.931	4.58	4.228	8.178	1.652	375.477	542.0
