ID	Peak1	Peak2	Peak3	Cen1	Cen2	Cen3	Size1	Size2	Size3	Peak	Sum	Volume
MWISP017.440+00.171+17.342	17.44163374242396	0.16661202280979845	17.600284520000002	17.44035949184814	0.17097889069210978	17.34192562648	122.64	135.75	1.513754	2.649	737.007	782.0
MWISP017.838+00.396+17.836	17.833337441592676	0.39153261058411165	17.4342441	17.83813011648172	0.39551475532675306	17.83589587598	114.9	110.43	1.072028	1.307	205.074	302.0
MWISP017.387+00.740+17.650	17.383386386841863	0.7416208450666245	17.600284520000002	17.38721145243099	0.7398702899428422	17.649764565159998	136.79999999999998	143.22	1.432912	2.712	711.792	774.0
MWISP017.737+00.323+19.393	17.74165532644767	0.32488767168989025	19.26068872	17.737154861198746	0.32259702219350495	19.393022934740003	85.8	83.55000000000001	1.397056	1.294	161.306	231.0
MWISP018.012+00.044+19.665	18.016570187034546	0.04148341517417468	19.42672914	18.012137847488503	0.04375969554342838	19.66549526396	137.79	151.26	2.058898	3.418	1555.239	1413.0
MWISP017.536+00.253+20.038	17.533312448677634	0.2582632445578738	20.090890820000002	17.536319797559344	0.25322937193904826	20.0377578856	173.1	178.35000000000002	1.446026	2.33	1222.728	1338.0
MWISP017.428+00.729+20.090	17.40838722717342	0.7332838229754997	20.25693124	17.42767988190124	0.7294642121907463	20.09039269874	142.68	140.43	1.418138	1.536	436.189	631.0
MWISP017.754+00.840+20.793	17.75844274859915	0.8498838503876103	20.58901208	17.75430667427878	0.8398931342427276	20.79290971576	94.25999999999999	133.29	1.054598	1.468	211.956	302.0
MWISP017.790+00.150+20.921	17.79161310917516	0.1498760641799244	20.921092920000003	17.789613350596625	0.15045987294043045	20.92092687958	130.68	123.63000000000001	0.566558	2.936	287.635	288.0
MWISP017.869+00.911+22.469	17.866800590177917	0.8998575511188301	22.74753754	17.86945372765439	0.9108818738769605	22.46925379608	135.63	130.44	1.821352	2.255	820.988	947.0
MWISP017.914+00.216+22.531	17.9166244467132	0.2165112002956897	22.58149712	17.91416601181595	0.21579518812127543	22.53118687274	120.3	122.94	0.8309960000000001	3.024	441.255	409.0
MWISP017.669+00.914+22.692	17.658444008097376	0.9082390775683564	22.74753754	17.669246559314843	0.9141201561106187	22.6919139993	120.78	123.63000000000001	1.0690400000000002	1.593	291.113	400.0
MWISP017.909+00.364+23.040	17.91666442490282	0.36651119496825174	22.58149712	17.90895544032665	0.36399657598038726	23.0397686792	79.95	68.58	0.752146	1.112	44.249	66.0
MWISP017.301+00.787+24.112	17.300051310031762	0.7832987763233099	24.57398216	17.300993527175336	0.786973657862228	24.1115595903	134.46	139.44	1.8117240000000001	2.655	1005.843	1024.0
MWISP017.919+00.119+25.114	17.916597795060056	0.11651120384725187	25.072103419999998	17.918531746117253	0.11925235475897976	25.113613525	189.51	170.07	0.418984	2.536	417.943	424.0
MWISP017.475+00.291+25.666	17.48331936686057	0.2916052392498014	25.902305520000002	17.474886118345665	0.29114831061082797	25.66619604276	188.91	165.24	1.29895	2.436	1141.057	1188.0
MWISP017.805+00.295+25.800	17.791648804113436	0.2998760599328367	25.902305520000002	17.804922347009466	0.2947728810572888	25.800024621280002	190.2	185.57999999999998	1.259276	3.138	1620.279	1484.0
MWISP018.128+00.034+25.922	18.12489264772779	0.03311739773161324	25.902305520000002	18.12803423690397	0.03364974319858254	25.922396410820003	166.05	153.45000000000002	0.7229300000000001	2.803	647.124	602.0
MWISP017.610+00.651+27.202	17.60838725274425	0.6499158401955268	27.06458846	17.610354165756632	0.6505404540845359	27.201737846919997	142.59	123.80999999999999	1.604224	2.81	953.38	925.0
MWISP017.344+00.222+27.220	17.3416463882389	0.22496001389885914	27.23062888	17.344429193841194	0.22177630350611988	27.22000229312	179.55	112.91999999999999	0.593948	2.437	351.649	373.0
MWISP017.434+00.927+27.264	17.43341920042633	0.9249466556735307	27.23062888	17.433702958590658	0.9274382780643983	27.263836964000003	82.2	111.75	1.131788	1.325	145.543	221.0
MWISP017.753+00.668+27.630	17.75840051061678	0.6665505219190774	27.396669300000003	17.752583788748012	0.6680018579660595	27.630288170940002	130.05	128.7	1.9928300000000003	2.806	1052.82	1057.0
MWISP017.451+00.250+27.484	17.45831175215997	0.2416093566946735	27.396669300000003	17.45051336490897	0.25020227845418086	27.48433864176	165.18	151.62	1.8103960000000001	2.813	1449.945	1359.0
MWISP017.803+00.193+28.030	17.808291007119948	0.19987206515843634	28.06083098	17.802614661106958	0.19333176698950752	28.0301135023	164.55	167.91000000000003	0.803108	1.93	533.627	636.0
MWISP018.022+00.076+28.060	18.016579832201842	0.07481674711205748	28.392911820000002	18.022196472106288	0.0760484516933	28.05950265664	200.64	165.99	1.873974	2.851	1965.353	1958.0
MWISP017.908+00.482+28.335	17.91669774106046	0.49151119052858694	28.226871400000004	17.908444939107653	0.4817550485645116	28.33463163258	147.08999999999997	196.92000000000002	1.728226	3.127	1565.142	1441.0
MWISP017.315+00.553+28.398	17.32502408185988	0.5582955653467502	28.392911820000002	17.31545630301548	0.5527884783380531	28.39805907302	139.82999999999998	138.42	0.5834900000000001	1.567	211.162	283.0
MWISP017.424+00.890+29.270	17.425079678636422	0.891614615869372	29.223113920000003	17.423787554192984	0.8896314815733972	29.270435439699998	114.66	113.88	1.6038920000000003	1.84	452.008	555.0
MWISP018.075+00.818+30.304	18.066799494032637	0.8164686280048691	30.219356440000002	18.074917450696915	0.8180245122089639	30.30436913504	115.11	131.04000000000002	0.874986	1.438	191.419	284.0
MWISP017.810+00.547+30.414	17.825038869182833	0.5332013273873165	30.38539686	17.809725022471667	0.547138395065493	30.4136237314	101.01	92.88	0.658356	1.272	85.426	128.0
MWISP017.876+00.900+31.077	17.875134922538194	0.8998554171515121	31.049558540000003	17.876418448323932	0.9000050871059452	31.07745333056	126.81	150.75	1.70316	3.129	1181.961	1077.0
MWISP018.161+00.366+31.710	18.158327934827497	0.3581067849371519	31.5476798	18.161022003202618	0.3655892511201112	31.71006733076	116.30999999999999	105.53999999999999	1.465282	1.879	390.263	486.0
MWISP017.919+00.231+32.649	17.91662888868518	0.23317786637042529	32.70996274	17.91931142492109	0.23051881718634515	32.64885986544	115.19999999999999	135.78	0.80095	1.537	203.341	291.0
MWISP018.092+00.481+33.389	18.091699839516764	0.48312771882404926	33.208084	18.092240982945896	0.4813775528562577	33.38856993654001	173.64000000000001	141.45	0.8447740000000001	2.686	648.041	640.0
MWISP017.465+00.682+33.454	17.466717147523696	0.6832746610568458	33.540164839999996	17.465350108138807	0.6815832179698327	33.453989862019995	170.25	157.44	1.449014	2.567	1174.178	1196.0
MWISP017.995+00.409+34.546	17.991678460781714	0.41649056203546514	34.53640736	17.994759801921504	0.40938135332443687	34.54553958310001	167.16	114.63000000000001	0.333826	2.278	167.201	178.0
MWISP017.433+00.803+34.691	17.43339838130973	0.7916133239652687	34.37036694	17.43286672250008	0.8026717403972132	34.69099099102	137.4	126.83999999999999	1.3575480000000002	1.652	375.477	542.0
