ID	Peak1	Peak2	Peak3	Cen1	Cen2	Cen3	Size1	Size2	Size3	theta	Peak	Sum	Volume
1.0	40.562	28.65	101.425	40.562	28.65	101.425	8.317	5.982	8.294	28.022	1.061	527.84	3760.0
2.0	27.397	82.607	85.749	27.397	82.607	85.749	8.285	5.586	13.912	47.82	0.466	361.544	4393.0
3.0	53.853	66.504	87.938	53.853	66.504	87.938	6.866	6.577	8.398	67.829	0.813	371.958	3183.0
4.0	98.974	112.518	68.718	98.974	112.518	68.718	6.947	5.522	13.466	157.534	0.8	497.051	4291.0
5.0	60.55	101.819	30.17	60.55	101.819	30.17	7.552	5.072	11.644	163.584	1.037	557.859	4053.0
6.0	95.176	82.787	106.555	95.176	82.787	106.555	8.119	6.587	11.766	121.099	2.335	1767.521	7136.0
7.0	45.856	109.017	92.19	45.856	109.017	92.19	6.645	5.191	13.395	155.54	2.938	1637.077	5661.0
8.0	54.621	24.195	73.808	54.621	24.195	73.808	8.383	8.065	7.114	47.669	1.64	951.52	5030.0
9.0	50.531	48.535	12.439	50.531	48.535	12.439	7.159	6.976	11.422	51.385	0.912	622.934	4854.0
10.0	104.797	89.899	10.89	104.797	89.899	10.89	7.182	5.033	10.853	35.117	2.119	990.554	4114.0
11.0	99.1	97.381	114.085	99.1	97.381	114.085	8.349	6.95	15.741	115.778	0.968	886.914	5924.0
12.0	54.372	36.446	60.345	54.372	36.446	60.345	8.244	7.974	9.808	76.695	2.891	2248.107	7871.0
13.0	77.769	79.059	68.683	77.769	79.059	68.683	6.256	5.375	12.625	80.779	2.644	1353.68	5076.0
14.0	45.827	8.027	80.187	45.827	8.027	80.187	8.025	5.848	2.65	133.704	0.787	117.415	1020.0
15.0	114.909	95.468	50.194	114.909	95.468	50.194	6.979	5.062	14.963	41.248	2.355	1481.685	5678.0
16.0	15.536	5.005	61.088	15.536	5.005	61.088	7.17	7.11	5.593	109.264	2.711	869.726	2777.0
17.0	28.316	10.156	73.979	28.316	10.156	73.979	9.104	7.002	14.88	116.017	2.496	2852.534	11090.0
18.0	40.73	15.34	56.263	40.73	15.34	56.263	8.693	7.908	3.362	89.689	2.282	636.154	2651.0
19.0	29.531	6.301	23.376	29.531	6.301	23.376	6.899	5.363	16.016	34.856	2.978	2092.54	6646.0
20.0	46.579	110.393	40.249	46.579	110.393	40.249	6.412	6.18	15.998	85.135	1.816	1388.904	6812.0
21.0	38.469	33.353	14.348	38.469	33.353	14.348	6.871	5.756	13.798	62.841	0.627	409.127	4067.0
22.0	41.995	58.847	75.691	41.995	58.847	75.691	9.416	4.884	13.717	150.176	2.886	2195.71	7692.0
23.0	11.702	44.972	96.109	11.702	44.972	96.109	6.148	5.083	13.387	132.546	1.493	753.283	4246.0
24.0	109.717	27.607	68.944	109.717	27.607	68.944	8.21	5.066	4.893	89.299	2.188	536.528	2308.0
25.0	41.983	44.591	43.926	41.983	44.591	43.926	6.167	5.683	9.198	84.952	0.713	277.312	2577.0
26.0	41.277	26.922	40.738	41.277	26.922	40.738	5.422	4.785	6.428	135.696	2.949	593.317	2056.0
27.0	86.616	31.426	25.632	86.616	31.426	25.632	8.319	8.034	12.403	7.735	1.981	1980.865	9140.0
28.0	21.963	99.13	87.714	21.963	99.13	87.714	8.566	7.333	9.673	2.665	0.865	634.255	5202.0
29.0	60.711	81.179	71.32	60.711	81.179	71.32	5.807	5.685	15.948	169.742	2.442	1550.612	6154.0
30.0	97.038	30.801	71.167	97.038	30.801	71.167	7.504	5.318	13.67	52.613	2.768	1821.296	6610.0
31.0	62.724	39.639	21.768	62.724	39.639	21.768	5.691	5.252	16.128	59.582	0.896	520.276	4187.0
32.0	93.872	35.999	59.701	93.872	35.999	59.701	8.704	7.06	11.009	80.641	2.107	1719.631	7583.0
33.0	98.158	21.496	9.52	98.158	21.496	9.52	6.308	5.596	12.721	168.137	2.127	1097.765	4292.0
34.0	100.222	107.545	81.908	100.222	107.545	81.908	6.055	4.882	13.822	118.677	1.543	760.208	4200.0
35.0	31.646	50.041	113.069	31.646	50.041	113.069	8.119	5.363	2.643	106.737	1.949	270.485	1281.0
36.0	99.614	88.545	26.227	99.614	88.545	26.227	8.864	7.33	15.096	42.428	1.001	1184.533	8782.0
37.0	19.919	58.869	106.095	19.919	58.869	106.095	8.419	5.497	6.59	118.839	2.535	932.247	3600.0
38.0	113.092	67.357	75.946	113.092	67.357	75.946	7.588	7.411	5.875	106.369	1.224	482.578	3028.0
39.0	70.835	110.736	41.8	70.835	110.736	41.8	6.579	6.552	11.1	43.721	1.147	661.794	4486.0
40.0	56.267	18.962	31.018	56.267	18.962	31.018	5.893	5.47	4.465	68.18	2.45	425.455	1682.0
