	Peak1	Peak2	Peak3	Cen1	Cen2	Cen3	Size1	Size2	Size3	Sum	Peak	Volume
0	69.0	44.0	17.0	69.23472511755581	43.91641735062339	16.997410204308338	2.2388441898020024	2.6333435490664763	2.4108985126674716	1310.1217654049397	4.9336652755737305	725.0
1	80.0	45.0	19.0	79.95194272520898	44.95298708856986	18.265449427020634	2.9514268872777296	1.9650657869961705	2.8362339377310897	1748.3827903866768	4.393972396850586	946.0
2	59.0	64.0	21.0	58.599778292798966	63.86274053224912	19.198174583850143	2.417969235727538	2.0061487684172747	3.168264072005206	1230.9977314472198	3.427906036376953	730.0
3	27.0	91.0	21.0	26.299940006137522	92.22522773121295	20.947928598936333	2.4237201928974565	2.6760194888277566	2.3760695149990276	1292.3568732440472	3.4231786727905273	748.0
4	18.0	92.0	21.0	17.53542752798701	91.85543145216755	19.572203019412445	2.402856589108125	2.001769966825551	3.0571829904302685	1009.2643510997295	3.5628609657287598	634.0
5	91.0	100.0	23.0	91.94418020971102	100.9626174024487	23.070319954420032	2.8261336049383807	2.360144024850314	3.3260876881215355	2337.1188223958015	6.737022399902344	1123.0
6	68.0	67.0	24.0	67.55592251169809	68.40872117152007	22.5320694439933	3.2376630428630517	3.3802007417134354	3.691798069722917	5080.965848982334	5.942687034606934	2219.0
7	92.0	85.0	24.0	91.98831629491232	86.06939348504575	23.77747007050617	1.8934444487748159	3.0953980169429265	3.640030914371339	3105.2841894477606	7.775708198547363	1421.0
8	59.0	52.0	25.0	59.95662611674767	52.682130639874366	24.054965285634704	1.884636889279536	2.401541794442719	2.816517456656141	629.453733459115	1.9322229623794556	466.0
9	72.0	88.0	25.0	72.0643049979918	88.07200483259007	25.337082466257787	2.9618510414831403	2.5201923760559914	4.130094701346449	5406.353675127029	9.361679077148438	2085.0
10	52.0	41.0	29.0	52.24417558036918	41.298924482863676	28.4549447627494	2.4464508637739772	2.2570467447807436	3.010006280372894	862.655689895153	3.6419572830200195	623.0
11	22.0	13.0	30.0	22.082448991705586	13.004496317154292	30.678805785608738	3.0909596900793614	2.3441646540264838	3.0465079040111114	3754.764424443245	10.264266014099121	1396.0
12	58.0	25.0	33.0	58.032319797659454	25.075901552693118	33.641692743130896	2.1671082828094868	2.6522648241660907	3.8601469595146978	3026.740663141012	6.676553249359131	1367.0
13	46.0	102.0	35.0	45.97124352696435	101.90006683000362	34.92871072476007	2.920696930759868	1.9539297273704	3.3232079951856957	1244.153734922409	3.120054006576538	719.0
14	26.0	28.0	38.0	25.980246762505693	27.984413423463664	37.32427462469357	3.357595640416964	2.1285435537885515	4.0302629459308275	5054.588379025459	9.148049354553223	2053.0
15	96.0	47.0	38.0	96.00801355061951	47.4602885853376	34.934418530929086	2.550025809734548	3.769979116133485	3.8720209361175795	2373.4855601787567	5.928430557250977	1291.0
16	55.0	48.0	39.0	55.048662414712716	49.02084760841045	39.90051018610555	1.912337021260847	3.1972649672500406	2.582511749716096	1045.0949932336807	4.429654121398926	660.0
17	13.0	40.0	41.0	13.036432601410628	41.0472010613902	40.62160077970462	2.149224262853864	2.8289464712922237	3.2112294144036304	1585.6591831743717	3.388493299484253	974.0
18	48.0	50.0	43.0	47.20938976990584	48.92693065913516	43.23054383084249	2.3375960084516216	2.497109265634893	3.314271351774106	1444.5247922837734	2.976745843887329	876.0
19	100.0	26.0	45.0	100.24372118754314	25.882104868518308	45.1049510721549	2.24873547343959	1.883353075802335	2.326028259360773	668.2871014475822	2.956268072128296	452.0
20	40.0	15.0	47.0	39.909595036645996	15.026888344915085	46.548724348152255	2.9976291489497644	2.2705110052945083	3.3085919690954726	2807.639067053795	6.6176228523254395	1349.0
21	84.0	47.0	47.0	84.12285897853614	46.13517372655751	47.04968974164937	2.6006816490596996	3.214870795844722	3.907555427713371	4570.338376134634	7.153456687927246	1959.0
22	21.0	77.0	47.0	20.864728477583878	77.03697546781504	45.937970969447655	2.855946770646545	2.001425045344671	2.8445555312074045	1536.4227054417133	4.338259696960449	871.0
23	99.0	82.0	48.0	100.1312171816614	81.99626367375431	48.6088397894583	2.814656436248875	2.0086847360043705	2.3468163084796037	1021.1236708760262	3.6522905826568604	631.0
24	24.0	86.0	48.0	24.234284898720578	85.77920755612581	48.68248513526976	3.1379195206755734	2.134309026049153	3.6539695612754444	3433.578940808773	7.38301944732666	1573.0
25	62.0	63.0	50.0	62.0312074998569	62.753321401023996	49.73808003970441	2.04358216053166	3.233658846691982	2.54257760775385	1914.994314596057	5.587879657745361	981.0
26	68.0	100.0	50.0	68.12396102518184	99.94998749889513	51.74638452145447	2.433379391178048	1.8507224548278727	3.390531437013036	1119.846662133932	3.439326524734497	701.0
27	90.0	29.0	51.0	90.04439415240121	29.033570543613358	51.20610995919037	2.4611840703533856	3.2500298865145334	3.4309801335417376	3670.4446626603603	7.407578468322754	1676.0
28	55.0	54.0	51.0	54.2097879645571	54.85867689858396	50.194872926434364	2.438882274595732	2.2111620515379355	3.175423060947956	1267.227181762457	3.0814428329467773	800.0
29	22.0	21.0	52.0	22.07176572365244	20.95390270166198	52.136364353217786	3.002586956786221	2.3379151405748715	3.48069327957996	3987.010496556759	9.41578483581543	1559.0
30	42.0	30.0	52.0	42.00232331282489	30.072311573812616	51.24753373344576	2.324593208080845	3.143332363117084	2.9266936913332238	3276.6839803755283	6.442017555236816	1342.0
31	107.0	21.0	53.0	106.89331950892614	21.003100937398067	52.9169133514984	1.8629248061151469	2.8915479199992737	3.2965746392678263	2363.2814295589924	7.296019554138184	1117.0
32	67.0	46.0	54.0	67.35709988795729	47.46680360912508	53.08219838359953	2.70797832807095	3.654122359388365	4.348225667453863	5783.0983551591635	9.212854385375977	2391.0
33	78.0	28.0	55.0	78.00958587547666	28.09109657828619	55.27162047192403	1.9400470790363473	3.4919749759892778	3.8109721789022686	4987.12024512887	9.941970825195312	1883.0
