PIDENT peak1 peak2 peak3 cen1 cen2 cen3 size1 size2 size3 sum peak volume Glon Glat Sigma_max Sigma_min Angle
1 84.00000000000036 83.99999999999896 63.00000000000002 83.99999997330909 83.99999997830523 63.48893738202613 3.1572113337684238 3.143877588116302 4.777307094694797 3384.8414176979118 5.481311198152871 16631.93933328244 84.24984497358342 84.24999487088034 3.9536628 2.0544228 314.7996
2 88.99999999999865 72.99999999999899 89.0 89.00000006574653 72.99999962115349 89.20637507436723 2.5164335757892364 3.6978261656735554 4.381683324566472 4039.1156747971695 7.01183424164818 16075.767086051983 89.25035935949086 73.24999340664823 3.9495780000000003 2.0993712 204.5133
3 91.99999999999964 85.99999999999898 24.000000000000007 91.99999999349555 85.99999976014337 23.74174804182649 2.1857830530859426 3.725228489246235 4.382500414256919 3729.02768317911 6.601005081379086 15648.258974105553 92.2500005541364 86.25000218791102 3.7252476 2.1857279999999997 180.2987
4 68.0000000000003 29.999999999998977 73.0 68.00000008257629 30.0000000528428 73.34880719550928 3.7136905762659675 2.295896745202373 4.736888722290583 2639.9352160501494 4.299749090740065 16034.32880677987 68.24941793643794 30.250004607697235 3.8016516000000005 2.1471419999999997 285.0308
5 73.00000000000104 75.99999999999898 83.0 73.00000035897996 76.00000004845246 83.40396127231983 3.495256553652571 2.392732018997348 3.2120466686223264 3293.9021205426675 8.160238811217614 11436.430283628748 73.24980443906644 76.2499960949674 3.636978 2.1712836 290.1669
6 62.000000000000114 62.99999999999898 49.99999999999999 61.99999977573799 62.99999951903034 49.749877068776904 2.6090713608196596 3.7586221174297854 3.07985793427005 2414.131013849938 5.201361999746485 12433.992210583197 62.249498367900244 63.2499955295394 3.855714 2.4633287999999998 196.863
7 97.99999999999997 26.999999999999005 88.0 98.00000035934036 26.999999761727423 87.84850370712674 2.693206939910378 3.3717394089118873 4.067049651519086 2511.745398832617 4.555856567571322 14540.364805965692 98.24984559984462 27.250001923088362 3.6077676000000003 2.3677236 208.1421
8 27.000000000001904 100.99999999999896 76.0 26.999999987825447 100.99999966305214 76.16982316242422 2.8720416108890374 3.2894933902622374 3.168473841053384 1883.4440462446885 4.400422025793036 11217.184576401396 27.25056941253675 101.24999533899864 3.7105680000000003 2.3025036 323.859
9 98.99999999999983 30.999999999998984 94.0 98.9999999899833 30.999999991582428 93.96826157923138 3.5781506822740714 2.3563623631533686 4.699129999378211 4881.372849752107 7.926068962000372 17499.356072150913 99.25010386063713 31.249997352451935 3.6244116 2.2845815999999997 281.8455
10 69.00000000000155 51.99999999999898 49.00000000000001 69.00000012950515 51.999999890342536 49.04257587427327 2.7660619524346117 2.9711437085681975 3.93912919323162 1713.0335134787429 3.840319427632202 11488.09802369782 69.25012842974753 52.250003267160004 3.5108652 2.0377992 319.1496
11 47.999999999999204 99.99999999999896 100.0 47.99999992567257 100.00000012894742 100.48618315067677 2.262874381761534 3.6406334674511336 3.053407579556989 1182.0225821498466 3.1116414274951376 9394.33168069942 48.25050915922 100.24999603952136 3.7563768 2.0650884 197.164
12 107.00000000000128 20.999999999998977 52.99999999999999 106.99999998053924 21.000000504382882 53.09603112283878 2.1833501884975974 3.5374904008421777 3.9301889404362034 2861.560434156899 6.125080859441418 12820.127634542256 107.25052460844195 21.250005088553138 3.588648 2.0982612 191.9754
13 41.99999999999952 33.99999999999898 88.0 41.999999928861115 34.0000000568499 88.20239990781106 2.640317392526768 3.3169927173643172 4.740843616900016 5226.935774970847 9.051423172335525 16679.213540278037 42.25049390306344 34.249996443252506 3.6938856 2.0806416 327.8345
14 100.00000000000078 25.99999999999902 45.0 99.99999971485609 26.000000366927978 45.03592642630912 3.273734962628613 2.8145294976354323 3.274031683730758 1078.597204986137 2.4794501247919887 10488.183031024975 100.25016330545317 26.249994608256273 3.6569279999999997 2.2948104 235.0965
15 68.0000000000001 99.99999999999898 52.00000000000001 67.99999925012344 100.00000022572084 51.702584389643064 3.1973598896458544 2.5842057047437352 4.7866989551628665 1702.7776536783313 2.9792465583654715 14162.258984013652 68.25004449384774 100.25000208592202 3.511902 2.1372587999999997 238.5931
16 42.999999999998465 38.99999999999899 101.99999999999999 42.99999999370277 39.00000000146333 101.51335142864171 2.3294527811454344 3.945616723177542 4.03028186155817 5171.9763675532895 8.968434548550714 16527.824562767266 43.25022750721948 39.25000150862214 3.9853547999999996 2.2608204 189.8627
17 17.99999999999926 91.999999999999 20.000000000000004 17.999999859386236 91.9999999571659 19.95808827579158 3.45151507745596 2.659251594419446 4.313360005827953 1740.9304471156813 2.902181372828306 14793.14482582495 18.249926514087804 92.24999463547198 3.6270599999999997 2.4143472000000004 294.3373
18 97.00000000000031 88.99999999999898 63.00000000000002 97.0000000465431 88.99999979993108 62.82973038629006 2.7357616703613568 3.7678699384073604 4.92293052757811 2957.1261977342315 3.939349503424804 19380.683497738017 97.25049586291553 89.24999709002918 3.9789792 2.4184751999999996 336.1344
19 31.99999999999619 75.99999999999899 64.0 32.000000070527335 75.99999990364661 63.52017975008716 3.0509862337901645 2.759245339557562 3.3686690842879488 2362.5018835373585 6.0737522431852256 10563.374690863307 32.250563510514326 76.24999855623221 3.5834904 2.0200632 230.5937
20 53.99999999999869 54.999999999998984 51.0 53.999999988659596 55.000000015858994 50.5028991809673 3.158246175092157 2.886754177790281 3.996047616825638 1607.18894133445 3.162965955257977 12604.34818032054 54.249830239951024 55.25000072215157 3.6975588 2.1531287999999997 230.246
