s_PIDENT s_Peak1 s_Peak2 s_Peak3 s_Cen1 s_Cen2 s_Cen3 s_Size1 s_Size2 s_Size3 s_Sum s_Peak s_Volume f_PIDENT f_Peak1 f_Peak2 f_Peak3 f_Cen1 f_Cen2 f_Cen3 f_Size1 f_Size2 f_Size3 f_Sum f_Peak f_Volume
55.0 25.999999999998522 27.999999999998984 37.000000000000014 26.00000000793065 27.999999925168346 37.32465373449719 3.9262666504458963 2.4021146611410713 4.7408783206241925 5767.712579998367 8.177043342453254 20071.51066478963 15.0 26.0 28.0 38.0 25.980246762505693 27.984413423463664 37.32427462469357 3.357595640416964 2.1285435537885515 4.0302629459308275 5054.588379025459 9.148049354553223 2053.0
97.0 18.9999999999971 25.999999999999005 88.0 19.000000074946 26.000000214387 88.28997734382827 3.201333208975244 2.926358846075738 4.407256437686413 5151.2299073587155 8.508728708302806 17339.78492741092 66.0 19.0 26.0 88.0 19.02953543403487 26.031793217620095 88.29426743291887 2.7875317215507267 2.582062244530396 3.741623726119255 4430.1318818330765 7.430243968963623 1783.0
82.0 68.00000000000247 103.99999999999895 92.0 67.99999993173304 104.00000002177853 92.4493258442585 3.811624769067041 2.5097851302833702 3.286614015072207 2938.9734651688764 5.915401267299245 13449.648634618723 73.0 68.0 104.0 93.0 68.00834704671219 104.02065653770985 92.41112052444088 3.020245355684277 2.2179525891975502 2.6986578014251323 2300.581825762987 7.142839431762695 1068.0
60.0 56.99999999999889 41.999999999998984 87.00000000000001 57.000000207115065 42.0000000686153 86.6641004597005 2.212377835336028 3.9574058811266295 4.255030286920522 4607.973335386447 7.962763263793199 16413.266707631767 64.0 57.0 42.0 86.0 57.02504023173219 42.00316089945662 86.62210286113715 1.931439400343504 3.2506281904247496 3.5859197864760017 3861.049681544304 6.889467239379883 1588.0
33.0 88.99999999999899 75.99999999999899 57.0 88.99999997815726 76.00000009041509 56.86441051525508 3.991694862123545 2.093461266186215 3.023323936710952 2633.173768361166 6.604108641487792 11027.808373655544 39.0 89.0 76.0 57.0 88.95166319396262 76.03494653875839 56.86757222473781 3.449413965544502 1.855958150091303 2.5921878670875285 2241.120618760586 7.167193412780762 1074.0
94.0 23.999999999998806 41.999999999998984 86.0 24.000000048016062 41.999999990363165 86.3495246377425 2.355847412564494 3.6224047683738028 3.1683597320206442 3744.0050491562506 8.742161183132554 12285.283788421366 63.0 24.0 42.0 86.0 24.046042416740526 41.96017630746338 86.36961969473263 2.07079940506839 3.261322691275858 2.7891601587905104 3257.0254081189632 9.232046127319336 1346.0
22.0 13.000000000001506 40.999999999998984 40.99999999999999 12.999999990105124 41.00000002729356 40.59164406848643 2.692622695139645 3.711772762878692 4.400248546052924 2389.3313895197934 3.577723479279652 16926.506155297746 18.0 13.0 40.0 41.0 13.036432601410628 41.0472010613902 40.62160077970462 2.149224262853864 2.8289464712922237 3.2112294144036304 1585.6591831743717 3.388493299484253 974.0
3.0 91.99999999999964 85.99999999999898 24.000000000000007 91.99999999349555 85.99999976014337 23.74174804182649 2.1857830530859426 3.725228489246235 4.382500414256919 3729.02768317911 6.601005081379086 15648.258974105553 8.0 92.0 85.0 24.0 91.98831629491232 86.06939348504575 23.77747007050617 1.8934444487748159 3.0953980169429265 3.640030914371339 3105.2841894477606 7.775708198547363 1421.0
44.0 92.00000000000064 100.99999999999895 23.0 91.99999998961631 101.00000001192872 23.02074050840316 3.1793789356960573 2.83130509980007 4.01862196139657 2886.5209296705934 5.965919513767199 13238.370744580026 6.0 91.0 100.0 23.0 91.94418020971102 100.9626174024487 23.070319954420032 2.8261336049383807 2.360144024850314 3.3260876881215355 2337.1188223958015 6.737022399902344 1123.0
30.0 104.99999999999862 99.99999999999896 80.0 104.99999995751291 100.00000004282839 79.95314007428489 3.3297793401965796 2.7334956582604093 3.9066265117268637 4672.249377170688 8.852717787858817 15195.774998641926 58.0 105.0 100.0 81.0 104.94020503122292 99.94173978046327 79.92814328268749 2.9000711597347246 2.4164180100700374 3.44776396587126 4088.6224106252193 9.021308898925781 1626.0
68.0 29.99999999999713 15.999999999998991 103.99999999999997 29.999999554563402 16.000000445004403 103.84419929337128 3.4902059799242435 2.735687905002297 3.496278555375167 1953.8276281743642 4.282489998026574 11911.146648060629 85.0 29.0 17.0 103.0 30.005289074515016 15.990753110025173 103.7541292014165 2.8023603056618502 2.322304664690575 2.6881826204833295 1457.4873649775982 5.723533630371094 818.0
96.0 54.00000000000006 19.99999999999899 83.0 54.0000000124443 19.999999651969475 83.17742954519488 3.0664905052775575 2.9427283124671892 4.230739981275623 2730.4677407588974 4.846890380200049 14956.793268084431 60.0 54.0 20.0 83.0 54.05681358375777 19.979492091438054 83.25482944817139 2.4921930105070493 2.3914095423802486 3.4214176446131845 2118.841980457306 5.24212646484375 1123.0
53.0 77.9999999999957 27.999999999998984 55.00000000000001 78.00000027152535 28.000000278573893 55.231155246166 2.1077637175675425 3.9363271622777045 4.358642484245162 5638.288760165866 9.891992370844488 16630.25315000788 34.0 78.0 28.0 55.0 78.00958587547666 28.09109657828619 55.27162047192403 1.9400470790363473 3.4919749759892778 3.8109721789022686 4987.12024512887 9.941970825195312 1883.0
64.0 72.0000000000011 87.99999999999898 24.999999999999993 71.99999994551351 87.99999998946045 25.366836618519777 3.46750897197927 2.896566118472867 4.678709216075301 6232.835278852501 9.144933352202344 19674.69159193036 10.0 72.0 88.0 25.0 72.0643049979918 88.07200483259007 25.337082466257787 2.9618510414831403 2.5201923760559914 4.130094701346449 5406.353675127029 9.361679077148438 2085.0
16.0 42.999999999998465 38.99999999999899 101.99999999999999 42.99999999370277 39.00000000146333 101.51335142864171 2.3294527811454344 3.945616723177542 4.03028186155817 5171.9763675532895 8.968434548550714 16527.824562767266 84.0 43.0 39.0 101.0 42.9763049056592 38.89830439260432 101.48970930052042 2.120352635898451 3.3246097368009937 3.4050627408979457 4613.175984740257 10.363602638244629 1615.0
1.0 84.00000000000036 83.99999999999896 63.00000000000002 83.99999997330909 83.99999997830523 63.48893738202613 3.1572113337684238 3.143877588116302 4.777307094694797 3384.8414176979118 5.481311198152871 16631.93933328244 44.0 84.0 84.0 63.0 84.05001190989954 83.99883502129761 63.587372085655964 2.729053168800973 2.638720138182325 3.8711912460603632 2835.159319356084 6.189241886138916 1429.0
65.0 80.0000000000023 44.99999999999898 18.00000000000001 79.99999980776884 45.000000119712304 18.355627118346636 3.6217136780177435 2.470843890405923 3.6943679511464977 2336.4999034451484 4.441165392212524 13783.238984573547 2.0 80.0 45.0 19.0 79.95194272520898 44.95298708856986 18.265449427020634 2.9514268872777296 1.9650657869961705 2.8362339377310897 1748.3827903866768 4.393972396850586 946.0
89.0 22.000000000000284 12.999999999998977 30.999999999999993 22.00000005176173 12.999999983673817 30.601494084964774 3.4903473603353183 2.665005732197886 3.4855660513223303 4160.512258493113 9.508554746175227 12655.531870564248 12.0 22.0 13.0 30.0 22.082448991705586 13.004496317154292 30.678805785608738 3.0909596900793614 2.3441646540264838 3.0465079040111114 3754.764424443245 10.264266014099121 1396.0
32.0 59.99999999999531 22.99999999999899 57.0 59.99999999433555 22.99999995281172 57.472179496743394 3.6232503610456956 2.6183613981807983 3.666385960662826 4274.132725214254 8.769580629269896 13936.348587083912 38.0 60.0 23.0 57.0 59.97173510731561 23.098386981887998 57.42383195529511 3.1170098990319186 2.3589214192926735 3.244203833738765 3795.1979537010193 10.07153606414795 1533.0
