s_PIDENT s_Peak1 s_Peak2 s_Peak3 s_Cen1 s_Cen2 s_Cen3 s_Size1 s_Size2 s_Size3 s_Sum s_Peak s_Volume
7.0 97.99999999999997 26.999999999999005 88.0 98.00000035934036 26.999999761727423 87.84850370712674 2.693206939910378 3.3717394089118873 4.067049651519086 2511.745398832617 4.555856567571322 14540.364805965692
9.0 98.99999999999983 30.999999999998984 94.0 98.9999999899833 30.999999991582428 93.96826157923138 3.5781506822740714 2.3563623631533686 4.699129999378211 4881.372849752107 7.926068962000372 17499.356072150913
10.0 69.00000000000155 51.99999999999898 49.00000000000001 69.00000012950515 51.999999890342536 49.04257587427327 2.7660619524346117 2.9711437085681975 3.93912919323162 1713.0335134787429 3.840319427632202 11488.09802369782
19.0 31.99999999999619 75.99999999999899 64.0 32.000000070527335 75.99999990364661 63.52017975008716 3.0509862337901645 2.759245339557562 3.3686690842879488 2362.5018835373585 6.0737522431852256 10563.374690863307
26.0 106.99999999999903 43.99999999999898 55.99999999999999 106.99999985383232 44.000000129463835 56.077002729625306 2.7692288428595377 3.4389032483160666 4.032431082847796 2127.164599743112 3.7460951444433466 14534.675315481862
34.0 104.00000000000144 49.999999999999 61.99999999999999 104.00000016677973 50.000000211094644 61.73491634144395 2.9911240776332324 3.1779225103074955 3.0467371770532874 4023.224302079686 9.475035453560732 12317.26929739227
36.0 57.9999999999995 101.99999999999898 66.00000000000001 58.00000007368142 102.000000106944 65.91972319059975 2.869503083538546 3.275164015104167 3.6282511054901327 4266.143817579524 9.360208222626518 13259.297241915681
37.0 88.99999999999882 24.99999999999899 96.00000000000001 88.99999919795093 24.999998692549013 96.24271261201184 2.1859024808238328 3.9178648007760026 3.5431048200424216 1034.2248686519808 2.1420669106934915 11384.10763570368
45.0 67.00000000000048 72.99999999999898 18.999999999999996 67.00000014462668 72.99999974836507 18.934758742876962 3.3379533351995514 3.0415580288562154 3.484220077052527 1644.2105844423404 3.4612998986119963 12000.51528114443
51.0 62.99999999999717 105.99999999999896 66.00000000000001 62.99999991155333 106.00000008643943 65.93063330619592 3.049046164895385 2.966849213562368 4.588216399113319 3311.4238296146796 5.614325370537883 15970.140204992502
57.0 28.999999999997527 78.99999999999899 70.0 28.999999417302746 79.00000041222438 69.82112783736584 3.202244511733689 3.3420196315111608 4.272640817020483 1809.955245690587 2.8186814927748114 15806.704984376278
70.0 54.00000000000013 78.99999999999898 73.0 54.00000012654506 79.00000042235385 73.40419939829465 2.730135752799514 3.4712762030162514 3.183085648814223 1245.6566750285913 2.801995535628012 10846.429403779475
71.0 18.99999999999676 62.99999999999895 75.00000000000001 18.999999830655696 62.99999997183723 75.23343782880957 2.4162261238877583 3.3088346434073856 4.87674430634972 2505.6991783550275 4.445605418859515 14781.062718793068
75.0 39.99999999999636 67.99999999999896 63.00000000000002 39.99999987890641 68.00000003472398 62.54889283674689 2.18719588413925 3.52876334628949 3.0592841552913645 2247.2840617448314 6.319805529690514 9706.234109417273
76.0 84.00000000000045 47.99999999999899 45.0 84.00000038081288 47.9999995325267 44.807945208868766 3.547475226930882 2.447675010997521 3.5566183868822843 2842.5780094344286 5.8633538921568435 13206.233953821902
77.0 58.00000000000081 34.999999999998984 52.99999999999999 58.00000001219979 34.999999898630655 52.81230087475092 3.361745066003635 3.052938951852317 4.550131841889609 4134.436124740829 6.101315635028584 18572.78890100855
79.0 50.99999999999906 36.999999999998984 55.00000000000001 50.999999977620774 37.00000035753567 55.30044943695796 2.7888451091915503 3.3521603704126175 4.4596051679215085 4019.3280670782483 6.576428687821013 16904.506246822213
83.0 71.99999999999937 72.99999999999899 82.0 72.00000002563961 73.00000026328387 82.06371253683875 2.5235301523133415 3.4710252478619665 3.5857455509317426 2562.4126081088066 5.290438476779013 12992.169853386866
86.0 83.99999999999861 43.99999999999897 49.99999999999999 84.00000033522375 44.000000471228155 49.69769288794837 2.473729171126605 3.4974987857401203 3.6782055536479628 2559.2150107703146 5.147303404612676 13305.845456744393
87.0 93.9999999999974 50.99999999999898 30.999999999999993 93.99999920705064 51.00000034563281 31.194556997207012 3.111866246995114 2.646746845766264 4.689074076166474 1096.4002267643632 2.0138470422194863 12723.902568829924
92.0 24.999999999997556 60.99999999999896 74.00000000000001 25.000000147339534 61.000000395849376 73.64621744283383 2.389266996307028 3.6071087024260176 3.55780556181809 3883.769301721168 8.287475123251024 13339.915160720977
95.0 96.99999999999847 45.99999999999899 39.00000000000001 96.99999995827382 45.99999993726715 39.073226353153345 2.4307922418635335 3.9142524325332313 4.951429120487593 3378.3873355808314 4.532451993167715 19612.481637524732
